idx,timestamp,marker,attempts,api_seen,db_marker_count,db_last_1m,pass
1,09:18:18,STABILITY_1M_ROBUST_1779002292_1,3,1,2,30,1
2,09:19:04,STABILITY_1M_ROBUST_1779002328_2,5,0,0,3,0
3,09:19:49,STABILITY_1M_ROBUST_1779002374_3,5,0,0,0,0
4,09:20:34,STABILITY_1M_ROBUST_1779002419_4,5,0,0,4,0
5,09:21:20,STABILITY_1M_ROBUST_1779002464_5,5,0,0,0,0
6,09:22:05,STABILITY_1M_ROBUST_1779002510_6,5,0,0,0,0
7,09:22:51,STABILITY_1M_ROBUST_1779002555_7,5,0,0,1,0
8,09:23:37,STABILITY_1M_ROBUST_1779002601_8,5,0,0,0,0
9,09:24:16,STABILITY_1M_ROBUST_1779002647_9,4,1,2,22,1
10,09:25:01,STABILITY_1M_ROBUST_1779002686_10,5,0,0,12,0
11,09:25:47,STABILITY_1M_ROBUST_1779002731_11,5,0,0,0,0
12,09:26:32,STABILITY_1M_ROBUST_1779002777_12,5,0,0,2,0
13,09:27:18,STABILITY_1M_ROBUST_1779002822_13,5,0,0,0,0
14,09:28:03,STABILITY_1M_ROBUST_1779002868_14,5,0,0,0,0
15,09:28:49,STABILITY_1M_ROBUST_1779002913_15,5,0,0,1,0
16,09:29:34,STABILITY_1M_ROBUST_1779002959_16,5,0,0,0,0
17,09:30:13,STABILITY_1M_ROBUST_1779003004_17,4,1,2,20,1
18,09:30:59,STABILITY_1M_ROBUST_1779003043_18,5,0,0,10,0
19,09:31:44,STABILITY_1M_ROBUST_1779003089_19,5,0,0,0,0
20,09:32:30,STABILITY_1M_ROBUST_1779003134_20,5,0,0,13,0
21,09:33:15,STABILITY_1M_ROBUST_1779003180_21,5,0,0,0,0
22,09:34:01,STABILITY_1M_ROBUST_1779003225_22,5,0,0,0,0
23,09:34:46,STABILITY_1M_ROBUST_1779003271_23,5,0,0,0,0
24,09:35:32,STABILITY_1M_ROBUST_1779003316_24,5,0,0,0,0
